2022-09-20 15:36:09,868 INFO    MainThread:5596 [wandb_setup.py:_flush():76] Configure stats pid to 5596
2022-09-20 15:36:09,869 INFO    MainThread:5596 [wandb_setup.py:_flush():76] Loading settings from /home/ineogi2/.config/wandb/settings
2022-09-20 15:36:09,869 INFO    MainThread:5596 [wandb_setup.py:_flush():76] Loading settings from /home/ineogi2/RL-Lab/CPO/torch/wandb/settings
2022-09-20 15:36:09,869 INFO    MainThread:5596 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'_require_service': 'True'}
2022-09-20 15:36:09,869 INFO    MainThread:5596 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'CPO/torch/main.py', 'program': '/home/ineogi2/RL-Lab/CPO/torch/main.py'}
2022-09-20 15:36:09,869 INFO    MainThread:5596 [wandb_init.py:_log_setup():461] Logging user logs to /home/ineogi2/RL-Lab/CPO/torch/wandb/run-20220920_153609-1xvt9s70/logs/debug.log
2022-09-20 15:36:09,869 INFO    MainThread:5596 [wandb_init.py:_log_setup():462] Logging internal logs to /home/ineogi2/RL-Lab/CPO/torch/wandb/run-20220920_153609-1xvt9s70/logs/debug-internal.log
2022-09-20 15:36:09,869 INFO    MainThread:5596 [wandb_init.py:init():495] calling init triggers
2022-09-20 15:36:09,869 INFO    MainThread:5596 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {}
2022-09-20 15:36:09,869 INFO    MainThread:5596 [wandb_init.py:init():548] starting backend
2022-09-20 15:36:09,869 INFO    MainThread:5596 [wandb_init.py:init():552] setting up manager
2022-09-20 15:36:09,872 INFO    MainThread:5596 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-09-20 15:36:09,874 INFO    MainThread:5596 [wandb_init.py:init():558] backend started and connected
2022-09-20 15:36:09,877 INFO    MainThread:5596 [wandb_init.py:init():636] updated telemetry
2022-09-20 15:36:09,888 INFO    MainThread:5596 [wandb_init.py:init():667] communicating run to backend with 30 second timeout
2022-09-20 15:36:10,474 INFO    MainThread:5596 [wandb_run.py:_on_init():1982] communicating current version
2022-09-20 15:36:10,538 INFO    MainThread:5596 [wandb_run.py:_on_init():1986] got version response upgrade_message: "wandb version 0.13.3 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2022-09-20 15:36:10,538 INFO    MainThread:5596 [wandb_init.py:init():700] starting run threads in backend
2022-09-20 15:36:12,363 INFO    MainThread:5596 [wandb_run.py:_console_start():1962] atexit reg
2022-09-20 15:36:12,363 INFO    MainThread:5596 [wandb_run.py:_redirect():1820] redirect: SettingsConsole.WRAP_RAW
2022-09-20 15:36:12,363 INFO    MainThread:5596 [wandb_run.py:_redirect():1885] Wrapping output streams.
2022-09-20 15:36:12,363 INFO    MainThread:5596 [wandb_run.py:_redirect():1907] Redirects installed.
2022-09-20 15:36:12,364 INFO    MainThread:5596 [wandb_init.py:init():732] run started, returning control to user process
